address,overall_balance,transferable_balance,available_balance,available_balance_safe,available_balance_unsafe,last_height,updated_at,token
"3EUk8NGS4Y3Kuz4cxmVaYQPwuUizP5CxF4","100000.00000000","0.00000000","100000.00000000","100000.00000000","0.00000000","928275","2025-12-17 22:04:05","SCAT"
"3FUgvWyX1ohTBYZwSS6DsyEUoFDENGQHrt","174000.00000000","174000.00000000","0.00000000","0.00000000","0.00000000","928275","2025-12-17 22:04:03","SCAT"
"3G4yubtbzQGuBHNjZMgiiRqj5XfwqD5jq2","26000.00000000","24000.00000000","2000.00000000","2000.00000000","0.00000000","928275","2025-12-17 22:04:17","SCAT"
"3Gw2LENbay3FUw3mC8A1aamv5bNpiBBSso","72000.00000000","72000.00000000","0.00000000","0.00000000","0.00000000","928275","2025-12-17 22:04:09","SCAT"
"3HPaEZpP9YkqSFUonMMWAZmFdx73mqEBR4","5000.00000000","0.00000000","5000.00000000","5000.00000000","0.00000000","928275","2025-12-17 22:04:35","SCAT"
"3HYQJwpGusvVMjYhfhmYNJTSzw2KHppyCw","50000.00000000","0.00000000","50000.00000000","50000.00000000","0.00000000","928275","2025-12-17 22:04:11","SCAT"
"3J6VSAmLsYDLqD8YThRkGhWDv8xx33nrM3","1500000.00000000","0.00000000","1500000.00000000","1500000.00000000","0.00000000","928300","2025-12-18 01:27:55","SCAT"
"3JKAoMMLnGuX6zSPpWr3bE9LsfYsmLQ5g1","2000.00000000","0.00000000","2000.00000000","2000.00000000","0.00000000","928275","2025-12-17 22:04:39","SCAT"
"3KLmvVYmmjDBXqTfKpwa6wWhyq2wU3etXB","24000.00000000","24000.00000000","0.00000000","0.00000000","0.00000000","928275","2025-12-17 22:04:17","SCAT"
"3KLztGDjH8ZUW7D7AwqSjxEEstrBg5Xipm","8000.00000000","0.00000000","8000.00000000","8000.00000000","0.00000000","928275","2025-12-17 22:04:34","SCAT"
"3L6zVFyNdzAfBMq3MouagVRv7knoKgf14S","1000.00000000","0.00000000","1000.00000000","1000.00000000","0.00000000","928275","2025-12-17 22:04:41","SCAT"
"3LM3zXwtzP8RmMMKEMHLtw7GWgiXstLHeK","24000.00000000","2400.00000000","21600.00000000","21600.00000000","0.00000000","928275","2025-12-17 22:04:17","SCAT"
"3M4H3rKryZBoHtvEtysUe6LAWNQNhCfXNr","10000.00000000","10000.00000000","0.00000000","0.00000000","0.00000000","928275","2025-12-17 22:04:27","SCAT"
"3MeBfmPufnEU3ppMm11v6mSQ1hPCQodwUy","100000.00000000","0.00000000","100000.00000000","100000.00000000","0.00000000","928275","2025-12-17 22:04:05","SCAT"
"3N6jSqQdAUZXsTaGvToB7XzC3jo2rCEDSH","15000.00000000","0.00000000","15000.00000000","15000.00000000","0.00000000","928275","2025-12-17 22:04:25","SCAT"
"3N8PCbRfFduMZf411As3yVmgvqmqVJTirB","10000.00000000","0.00000000","10000.00000000","10000.00000000","0.00000000","928275","2025-12-17 22:04:27","SCAT"
"3Pe7wTG2aLHk1amsviWDeA9VfcNLjQy55s","4000.00000000","0.00000000","4000.00000000","4000.00000000","0.00000000","928275","2025-12-17 22:04:37","SCAT"
"3PHSmiZ6AFB4T8agxyLb2LoXKLGjRyX933","1000.00000000","0.00000000","1000.00000000","1000.00000000","0.00000000","928275","2025-12-17 22:04:41","SCAT"
"3QRL2n4zzp3WhYzwo2ZS1MocR4deCeNucE","1.00000000","0.00000000","1.00000000","1.00000000","0.00000000","928275","2025-12-17 22:04:47","SCAT"
"bc1p00nk0p6g8g9svexueyvrr3sfnwzu824ww6kkazc5k36v2klp5uzs8xaaxw","224000.00000000","0.00000000","224000.00000000","224000.00000000","0.00000000","928275","2025-12-17 22:04:01","SCAT"
"bc1p07eyllgmr3tuqlvg84er2f5yf0tg4yu22l209u230m85arelm2kshf4l39","10000.00000000","0.00000000","10000.00000000","10000.00000000","0.00000000","928275","2025-12-17 22:04:29","SCAT"
"bc1p09ep0z0u8zzxyv04xuvk4n2zpzy9wy687pexn2qy08ttkkdxdeksya3cwr","1000.00000000","0.00000000","1000.00000000","1000.00000000","0.00000000","928275","2025-12-17 22:04:43","SCAT"
"bc1p09rjvuhrhzele20t9tya6rwch07y33ck7g2z4sswg8lr5fwnfw0sscqm6m","23000.00000000","0.00000000","23000.00000000","23000.00000000","0.00000000","928275","2025-12-17 22:04:21","SCAT"
"bc1p0a7kshkzakeqvans8c6zee0xyrytlxdmzgn5n0py56t78xj49jqsq93y9e","200000.00000000","0.00000000","200000.00000000","200000.00000000","0.00000000","928275","2025-12-17 22:04:01","SCAT"
"bc1p0d3nax9fwzxzukh6z3fcnsecjtslkd8hzjkauhaykr0l8y8x87tq0t9h34","4000.00000000","0.00000000","4000.00000000","4000.00000000","0.00000000","928275","2025-12-17 22:04:37","SCAT"
"bc1p0h2e9yg9clsgjmpkaj3mhdylynagm66hnzzwl6zufxk5atm2l34q3749m8","12000.00000000","0.00000000","12000.00000000","12000.00000000","0.00000000","928275","2025-12-17 22:04:27","SCAT"
"bc1p0hqn40aqan4mtmwrkx8htdtrk5dgh4zueg7mr836wqf5y2ghkwfsdufe4w","1000.00000000","0.00000000","1000.00000000","1000.00000000","0.00000000","928275","2025-12-17 22:04:43","SCAT"
"bc1p0hwny9xzkvufsye88gqfgnh6xc5vvcfhl92u7dxwp06dax2nm6jqrnmktw","1866535.17159310","66140.00000000","1800395.17159310","1800395.17159310","0.00000000","928275","2025-12-17 22:03:56","SCAT"
"bc1p0lrypfwt62uczejg6m24vuvughvfzjm79kde34nxkvcwsk36ncuqll4j2v","25000.00000000","0.00000000","25000.00000000","25000.00000000","0.00000000","928275","2025-12-17 22:04:17","SCAT"
"bc1p0mph58pdkm0lqclyt0yesug8nwttppk6ufjq9gelynagng05ypwsmnngus","200000.00000000","0.00000000","200000.00000000","200000.00000000","0.00000000","928275","2025-12-17 22:04:01","SCAT"
"bc1p0mq3gsjducdl45ckwrfctkgaq8333py3fu25kfqrw74pfysqp5rskzfnuh","328500.00000000","328500.00000000","0.00000000","0.00000000","0.00000000","928275","2025-12-17 22:03:59","SCAT"
"bc1p0qt66tljyfs5v7yn4hhpx4cn370g9xgqufy5elvkjy4ut9d4a4ksy29psd","10000.00000000","2000.00000000","8000.00000000","8000.00000000","0.00000000","928275","2025-12-17 22:04:31","SCAT"
"bc1p0r4zksm6n4tflmu4s0zyz5fxs5rxekyl8wnkwc24e6uccws8m7hs70tevr","23000.00000000","23000.00000000","0.00000000","0.00000000","0.00000000","928275","2025-12-17 22:04:21","SCAT"
"bc1p0sj308x7lazqhc3gm4sq8ryv2nkmvekpz9esxm849rsfajy349cqtgeu74","24000.00000000","23999.00000000","1.00000000","1.00000000","0.00000000","928275","2025-12-17 22:04:19","SCAT"
"bc1p0ujhee58zz0m4r798gjkscaw43uhs4rg25d60ll3a0hsezrsz8fqsl9lj0","50000.00000000","50000.00000000","0.00000000","0.00000000","0.00000000","928275","2025-12-17 22:04:11","SCAT"
"bc1p0ulwyv6hqtkdag6c4yd5hu23awwvuqd4ykwk3unlmnm0snp0qmqqtdnvh9","24000.00000000","0.00000000","24000.00000000","24000.00000000","0.00000000","928275","2025-12-17 22:04:19","SCAT"
"bc1p0xpa8frxlq9tju345c9rf9cx4zvvm8zukzkexwkrqrt4gf88uhpskymaft","8000000.00000000","8000000.00000000","0.00000000","0.00000000","0.00000000","928275","2025-12-17 22:08:32","SCAT"
"bc1p0xu8ljgvj7sp9lfpulmcfzja2y347tu49tc6zrza4nduhm3y8jgsn099g4","24000.00000000","0.00000000","24000.00000000","24000.00000000","0.00000000","928275","2025-12-17 22:04:19","SCAT"
"bc1p0yak0vqhe8ysnzxp4n0a0ua3y7kfkyfarv2a2q6ad7t7rnzvcx0sg8xg8f","1000.00000000","1000.00000000","0.00000000","0.00000000","0.00000000","928275","2025-12-17 22:04:43","SCAT"
"bc1p0zz3m2454zf4x0jcm8uhxpqn97k2ywwmyguuwj2nkny86gvk7lusjrrq83","1000.00000000","1000.00000000","0.00000000","0.00000000","0.00000000","928275","2025-12-17 22:04:43","SCAT"
"bc1p223er04ke70sfxuyt2d6duyaj4rhl60jnumx4wvvgw79syzfevtsyfm9n6","1260.00000000","0.00000000","1260.00000000","1260.00000000","0.00000000","928275","2025-12-17 22:06:36","SCAT"
"bc1p23fykqatpw2ngtg4hprlf0uukf4zynuqd589r96wc3drvakd775s98cu2a","11000.00000000","0.00000000","11000.00000000","11000.00000000","0.00000000","928275","2025-12-17 22:04:27","SCAT"
"bc1p24a83vken0kzxylu4htny7kdez8ztrufcy730slmxkv6ulsm8lwqxycquy","150000.00000000","0.00000000","150000.00000000","150000.00000000","0.00000000","928275","2025-12-17 22:04:03","SCAT"
