ticker,height,utxo_id,amount
atom,819281,27782666038280192,1000
atom,819281,27782666063970304,1000
atom,819281,27782666065018880,1000
atom,819281,27782666066591744,1000
atom,819281,27782666067640320,1000
atom,819281,27782666069737472,1000
atom,819281,27782666070786048,1000
atom,819281,27782666071310336,1000
atom,819281,27782666072358912,1000
atom,819281,27782666092281856,1000
atom,819281,27782666094903296,1000
atom,819281,27782666099621888,1000
atom,819281,27782666100146176,1000
atom,819281,27782666100670464,1000
atom,819281,27782666105913344,1000
atom,819281,27782666108272640,1000
atom,819281,27782666108796928,1000
atom,819281,27782666109321216,1000
atom,819281,27782666144448512,1000
atom,819281,27782666145234944,1000
atom,819281,27782666164895744,1000
atom,819281,27782666273947648,1000
atom,819281,27782666277093376,1000
atom,819281,27782666324279296,1000
atom,819281,27782666347347968,1000
atom,819281,27782700466700288,1000
atom,819281,27782700538003456,1000
atom,819281,27782700540624896,1000
atom,819281,27782700541673472,1000
atom,819281,27782700543770624,1000
atom,819281,27782700544294912,1000
atom,819281,27782700544819200,1000
atom,819281,27782700550586368,1000
atom,819281,27782700552159232,1000
atom,819281,27782700552683520,1000
atom,819281,27782700553207808,1000
atom,819281,27782700554780672,1000
atom,819281,27782700563169280,1000
atom,819281,27782700563693568,1000
atom,819281,27782700564217856,1000
atom,819281,27782700564742144,1000
atom,819281,27782700569985024,1000
atom,819281,27782700570509312,1000
atom,819281,27782700571033600,1000
atom,819281,27782700573655040,1000
atom,819281,27782700574179328,1000
atom,819281,27782700575752192,1000
atom,819281,27782700576276480,1000
atom,819281,27782700588335104,1000
atom,819281,27782700588859392,1000
atom,819281,27782700590432256,1000
atom,819281,27782700593053696,1000
atom,819281,27782700593577984,1000
atom,819281,27782700594102272,1000
atom,819281,27782700596723712,1000
atom,819281,27782700603539456,1000
atom,819281,27782700604063744,1000
atom,819281,27782700607209472,1000
atom,819281,27782700610879488,1000
atom,819281,27782700611403776,1000
atom,819281,27782700626608128,1000
atom,819281,27782700627132416,1000
atom,819281,27782700627656704,1000
atom,819281,27782700724125696,1000
atom,819281,27782700725436416,1000
atom,819281,27782700726222848,1000
atom,819281,27782700939870208,1000
atom,819281,27782700940394496,1000
atom,819281,27782700940918784,1000
atom,819281,27782700961366016,1000
atom,819281,27782700962152448,1000
atom,819281,27782700962938880,1000
atom,819281,27782700963725312,1000
atom,819281,27782700964511744,1000
atom,819281,27782701043417088,1000
atom,819281,27782701044203520,1000
atom,819281,27782701044989952,1000
atom,819281,27782701052592128,1000
atom,819281,27782701074874368,1000
atom,819281,27782701075398656,1000
atom,819281,27782701075922944,1000
atom,819281,27782701076447232,1000
atom,819281,27782701080117248,1000
atom,819281,27782701092700160,1000
atom,819281,27782701093486592,1000
atom,819281,27782701113409536,1000
atom,819281,27782734888042496,1000
atom,819281,27782734889615360,1000
atom,819281,27782734890139648,1000
atom,819281,27782734895382528,1000
atom,819281,27782734896955392,1000
atom,819281,27782734899576832,1000
atom,819281,27782734906392576,1000
atom,819281,27782735033270272,1000
atom,819281,27782735277326336,1000
atom,819281,27782769114873856,1000
atom,819281,27782769138728960,1000
atom,819281,27782769145020416,1000
atom,819281,27782769166254080,1000
atom,819281,27782803701628928,1000
atom,819281,27782803703201792,1000
atom,819281,27782803781320704,1000
atom,819281,27782803782893568,1000
atom,819281,27782803783417856,1000
atom,819281,27782803784466432,1000
atom,819281,27782803784990720,1000
atom,819281,27782803786563584,1000
atom,819281,27782803788136448,1000
atom,819281,27782803791806464,1000
atom,819281,27782803793379328,1000
atom,819281,27782803794427904,1000
atom,819281,27782803794952192,1000
atom,819281,27782803795476480,1000
atom,819281,27782803796000768,1000
atom,819281,27782803810680832,1000
atom,819281,27782803811205120,1000
atom,819281,27782803812253696,1000
atom,819281,27782803812777984,1000
atom,819281,27782803813302272,1000
atom,819281,27782803816972288,1000
atom,819281,27782803819069440,1000
atom,819281,27782803820118016,1000
atom,819281,27782803820642304,1000
atom,819281,27782803821166592,1000
atom,819281,27782803821690880,1000
atom,819281,27782803822215168,1000
atom,819281,27782803824312320,1000
atom,819281,27782803824836608,1000
atom,819281,27782803834273792,1000
atom,819281,27782803835322368,1000
atom,819281,27782803835846656,1000
atom,819281,27782803836370944,1000
atom,819281,27782803836895232,1000
atom,819281,27782803837419520,1000
atom,819281,27782803837943808,1000
atom,819281,27782803841089536,1000
atom,819281,27782803843710976,1000
atom,819281,27782803844235264,1000
atom,819281,27782803849478144,1000
atom,819281,27782803850002432,1000
atom,819281,27782803852099584,1000
atom,819281,27782803852623872,1000
atom,819281,27782803853148160,1000
atom,819281,27782803855245312,1000
atom,819281,27782803855769600,1000
atom,819281,27782803928645632,1000
atom,819281,27782837814951936,1000
atom,819281,27782837816786944,1000
atom,819281,27782837818359808,1000
atom,819281,27782837820719104,1000
atom,819281,27782837846933504,1000
atom,819281,27782837847982080,1000
atom,819281,27782837854797824,1000
atom,819281,27782837855322112,1000
atom,819281,27782837865807872,1000
atom,819281,27782837871575040,1000
atom,819281,27782837875245056,1000
atom,819281,27782837875769344,1000
atom,819281,27782837948907520,1000
atom,819281,27782837949431808,1000
atom,819281,27782837965422592,1000
atom,819281,27782837966209024,1000
atom,819281,27782837966995456,1000
atom,819281,27782837967781888,1000
atom,819281,27782837968568320,1000
atom,819281,27782837978267648,1000
atom,819281,27782837979054080,1000
atom,819281,27782837997928448,1000
atom,819281,27782837998452736,1000
atom,819281,27782838004219904,1000
atom,819281,27782838006579200,1000
atom,819281,27782838087581696,1000
atom,819281,27782838118514688,1000
atom,819281,27782838328754176,1000
atom,819281,27782838329540608,1000
atom,819281,27782838330064896,1000
atom,819281,27782838330589184,1000
atom,819281,27782838331113472,1000
atom,819281,27782838331637760,1000
atom,819281,27782838332162048,1000
atom,819281,27782838350774272,1000
atom,819281,27782838446456832,1000
atom,819281,27782838518808576,1000
atom,819281,27782838519332864,1000
atom,819281,27782838519857152,1000
atom,819281,27782872151097344,1000
atom,819281,27782872151621632,1000
atom,819281,27782872152145920,1000
atom,819281,27782872152670208,1000
atom,819281,27782872168398848,1000
atom,819281,27782872169971712,1000
atom,819281,27782872172068864,1000
atom,819281,27782872176263168,1000
atom,819281,27782872176787456,1000
atom,819281,27782872178360320,1000
atom,819281,27782872179933184,1000
atom,819281,27782872180457472,1000
atom,819281,27782872180981760,1000
atom,819281,27782872182030336,1000
atom,819281,27782872185176064,1000
atom,819281,27782872185700352,1000
atom,819281,27782906535739392,1000
atom,819281,27782906565885952,1000
atom,819281,27782906569555968,1000
atom,819281,27782906598653952,1000
atom,819281,27782906603372544,1000
atom,819281,27782906604421120,1000
atom,819281,27782906610188288,1000
atom,819281,27782906611761152,1000
atom,819281,27782906612809728,1000
atom,819281,27782906618052608,1000
atom,819281,27782906619101184,1000
atom,819281,27782906619625472,1000
atom,819281,27782906624344064,1000
atom,819281,27782906627489792,1000
atom,819281,27782906628538368,1000
atom,819281,27782906630111232,1000
atom,819281,27782906633781248,1000
atom,819281,27782906635878400,1000
atom,819281,27782906636402688,1000
atom,819281,27782906639024128,1000
atom,819281,27782906639548416,1000
atom,819281,27782906640072704,1000
atom,819281,27782906640596992,1000
atom,819281,27782906641121280,1000
atom,819281,27782906641645568,1000
atom,819281,27782906643742720,1000
atom,819281,27782906644267008,1000
atom,819281,27782906646364160,1000
atom,819281,27782906657898496,1000
atom,819281,27782906659471360,1000
atom,819281,27782906661568512,1000
atom,819281,27782906662092800,1000
atom,819281,27782906662617088,1000
atom,819281,27782906663141376,1000
atom,819281,27782906664714240,1000
atom,819281,27782906670481408,1000
atom,819281,27782906671005696,1000
atom,819281,27782906671529984,1000
atom,819281,27782906672054272,1000
atom,819281,27782906673627136,1000
