ticker,height,utxo_id,amount
quark,822900,28272327540342784,20000
quark,822900,28272327597228032,20000
quark,822900,28272327598538752,20000
quark,822900,28272327638122496,20000
quark,822900,28272327681376256,20000
quark,822900,28272327681900544,20000
quark,822900,28272327682424832,20000
quark,822900,28272327682949120,20000
quark,822900,28272327683473408,20000
quark,822900,28272327683997696,20000
quark,822900,28272327684521984,20000
quark,822900,28272327685046272,20000
quark,822900,28272327685570560,20000
quark,822900,28272327686094848,20000
quark,822900,28272327686619136,20000
quark,822900,28272327687143424,20000
quark,822900,28272327687667712,20000
quark,822900,28272327688192000,20000
quark,822900,28272327706804224,20000
quark,822900,28272327710998528,20000
quark,822900,28272327755563008,20000
quark,822900,28272327756611584,20000
quark,822900,28272327783874560,20000
quark,822900,28272360963964928,20000
quark,822900,28272360991227904,20000
quark,822900,28272361003810816,20000
quark,822900,28272361097396224,20000
quark,822900,28272361109192704,20000
quark,822900,28272361128329216,20000
quark,822900,28272361144057856,20000
quark,822900,28272361172369408,20000
quark,822900,28272361172893696,20000
quark,822900,28272361186000896,20000
quark,822900,28272361192816640,20000
quark,822900,28272361299509248,20000
quark,822900,28272361474097152,20000
quark,822900,28272361553002496,20000
quark,822900,28272361555886080,20000
quark,822900,28272361559556096,20000
quark,822900,28272361632694272,20000
quark,822900,28272361668608000,20000
quark,822900,28272361716056064,20000
quark,822900,28272361716580352,20000
quark,822900,28272361729687552,20000
quark,822900,28272361729949696,20000
quark,822900,28272361730211840,20000
quark,822900,28272361733095424,20000
quark,822900,28272361733619712,20000
quark,822900,28272361738600448,20000
quark,822900,28272361814622208,20000
quark,822900,28272395330781184,20000
quark,822900,28272395343888384,20000
quark,822900,28272395350179840,20000
quark,822900,28272395528437760,20000
quark,822900,28272395620712448,20000
quark,822900,28272396116164608,20000
quark,822900,28272396116688896,20000
quark,822900,28272396117213184,20000
quark,822900,28272396117737472,20000
quark,822900,28272396118261760,20000
quark,822900,28272396118786048,20000
quark,822900,28272396119310336,20000
quark,822900,28272396119834624,20000
quark,822900,28272396120358912,20000
quark,822900,28272396125339648,20000
quark,822900,28272396177768448,20000
quark,822900,28272396190351360,20000
quark,822900,28272396193497088,20000
quark,822900,28272396211060736,20000
quark,822900,28272396211585024,20000
quark,822900,28272396244353024,20000
quark,822900,28272396262178816,20000
quark,822900,28272429742161920,20000
quark,822900,28272429749239808,20000
quark,822900,28272429770473472,20000
quark,822900,28272429772308480,20000
quark,822900,28272429772570624,20000
quark,822900,28272429808484352,20000
quark,822900,28272429888700416,20000
quark,822900,28272429989888000,20000
quark,822900,28272429999325184,20000
quark,822900,28272430000373760,20000
quark,822900,28272430000898048,20000
quark,822900,28272430005616640,20000
quark,822900,28272430007975936,20000
quark,822900,28272430014267392,20000
quark,822900,28272430050181120,20000
quark,822900,28272430433697792,20000
quark,822900,28272430434222080,20000
quark,822900,28272430758494208,20000
quark,822900,28272430762950656,20000
quark,822900,28272430763474944,20000
quark,822900,28272430763999232,20000
quark,822900,28272430819835904,20000
quark,822900,28272464048422912,20000
quark,822900,28272464108191744,20000
