ticker,height,atomical_id,utxo_count,utxo_amount,minted_times,minted_amount,max_mints
atomics,860000,000023089f56ae8d2e479f91b4296804fe83fc034c653a22ee989eda92716d0ci0,0,0,0,0,3
atommap,860000,2993cf6622a408ef39f59c58ceeb4f4509d3f49a36adb8db01dfbf366451543ai0,12,119988,14,139986,99999
atomp,860000,4841265dc0be6101592ea2ea04a1017e84fa8c5f2709bc329e5f0c6889b8acbei0,102,112000,117,117000,21000
atoms,860000,6188a9840691e90b49d6e9a1c927c6a83ac282817a8b639ea0db17817307dea4i0,15579,20869808,21000,21000000,21000
atomx,860000,0000e9420688bbc6e4e19f3e21ae6f33bf29a98fb1032ee56d4fb43bc44f2bdbi0,6,9000,9,9000,21000
atomxyz,860000,000053196db7ba1b26e92bec3a876fd62242681856feb4e8551d2ecd8f5c8a6di0,1,600,1,600,21000
aton,860000,2c93399100371819ee0258116c536070e029ca130229b6413e4ac1e74734e0d9i0,82,85000,86,86000,21000
au,860000,7979111ae20f9ec5abfb086d088a77414212cdc371157f66803fb8da5a6921a6i0,0,0,0,0,19696
avax,860000,0000e241518a3a242f19f350fbf2a3c8f25c9390ba93c089d73330703989d662i0,1,1000,1,1000,1
avm,860000,d4c48c4db504282e987776cba26f78fbc1573460a02c45d9e5de37c5b13ef751i0,11114,20003638,21000,21000000,21000
axion,860000,0000bf7e1126ebb3b90076e2d49b4c978fde8d35f617b552f8aef0a07a9e76f2i0,30,30000,31,31000,21000
b,860000,3509baa110c7ecaa8105dc5188cd9d0dcb68500560b080eef0e264c5405f780bi0,19,19000,21,21000,21
bch,860000,0000073b34b25819b38366f74ae73db3b67abc39af27cd919c8ef4bc427b53d1i0,1,1000,1,1000,1
beng,860000,801168229af434d496e5bc19c884ba930c9f64c398370fbeb841a5dedf8e1e9ai0,2,2000,2,2000,21000
binance,860000,000008440f31642485c701c8b70f587ec0956ddabe596264dc0e97b573e576bci0,1,1000,1,1000,1
bitatom,860000,5345a76aa4c4580f5fa7821a43c228daa5c349deae742564b43714161558b0c2i0,5,50000,5,50000,21000
bitcash,860000,0000ec94018f4ad4d6c6fb7b9b7fa1dabbf90ec91de22eb3daecb76ced40c719i0,0,0,0,0,1000000
bitcoin,860000,531802b8de05f125e006799d0d478e5786277ec73d6c8fae3d7bbd654bcbd8fai0,62,620000,62,620000,21000
bitcoincolored,860000,21235ed0385e64364abea410c38d05d3fde4e258451c255ac424669ef561a06bi0,0,0,0,0,100000
bitcoincolorful,860000,6143db8b20367fdd97074c0f0483e3cca8aeef0ef3161790955d006f94f5bd18i0,0,0,0,0,1000000
bitcoincoloring,860000,4899ff5c1eda92350b7d2920d156d22e916b91492271541471af1fd7ec478113i0,0,0,0,0,1000000
bitcoincoloured,860000,23595cf86b7273634ee6519bde8f9792c9ee4f7b0ca0e528615130112b0d78dai0,0,0,0,0,100000
bitcoincolourful,860000,136263cabae3d7e7ea626503906ec080a42d4d81411e9e91d099908c733c306fi0,0,0,0,0,1000000
bitcoincolouring,860000,8545d51ea0706b23051a8eb4ecb96fb501025ea041a694032e80344bf71ecc6fi0,0,0,0,0,1000000
bitcoinfi,860000,00008b6a54a8a34b40ff910ba0a27a6cb8c849410872bd38881c300f9ef0f87ci0,0,0,0,0,100000
bitcopper,860000,0000fbd1cbe72ca217a09ed7e602d624c24e38a0c6ca53af9b82c9559faf4901i0,0,0,0,0,1000000
bitdollar,860000,0000c37800a90ce73b75847267e5ec4b9668010860a9f8cd1a58c11fd8352c24i0,0,0,0,0,1000000
bitman,860000,00009e7ea0268b6b04415ac02843be1bb136ec8543b76e6c62081b65234a39f0i0,3,630000,3,630000,210000
bitmoney,860000,0000277577fef420fe43f404f9261d5dd245071b244490a74f5c77b712330169i0,0,0,0,0,1000000
bitnew,860000,0000744ba76666b672ecd466cf0efb3a52a28d005da781ca38dc948b18c37198i0,1,210000,1,210000,1
bitpay,860000,0000c46be4128f205d6ab68ac59fa1f09ac8f856cd14a1e325fd57891e66ab47i0,0,0,0,0,1000000
bitsilver,860000,0000520a061b0a24cac5ed562ec53eb740d7ee4b4a16be1458f562950831e225i0,0,0,0,0,1000000
bitvm,860000,8abe2424874b5c7a53b3e325c90230fc5f9d821d909ff38dcc98bbb13b8e62c2i0,13158,19632500,21000,21000000,21000
bitwork,860000,77777ed2e22644a34e164a00d5114cad4b60870e38588188ad65dd5c8fdb8a62i0,1527,1966360,2108,2108000,2108
blast,860000,37261fd60fe6aa11a9432f7533a324256abb5390d317f0f9680db729b7a874f0i0,5,5000,5,5000,15000
block,860000,0000c4810be3b6cb78348df064951d6cec50296527624dd9f78fbd2a34542774i0,10,210000,10,210000,10
bmoney,860000,000072ff76a9e5624f3c610913b80473add90c23ea2800a07a5939e9bc37af81i0,0,0,0,0,1000000
bnb,860000,0000d7bd271e1a73c6d9ae21de339b0c460e5b77f3cb439b848bd6177c2e3caci0,15,300000,15,300000,20000
bobo,860000,6038643726dc35bd1606778a5d7de7bf7dbf70194afb2ce86c6be07e7b0e1564i0,0,0,0,0,1000
bomb,860000,19456dbdfbabf6efbf347fd89939310428a8df5816fcc03cc78b8544f8d442a4i0,100,1010000,101,1010000,210000
bonk,860000,0000baa72040ceafccbe876536b8069b50262225f3d383d45431911b22e34ac0i0,0,0,0,0,100000
bornmade,860000,0000b4f5508c73a79839568ecd5e15c8015cc3b002bf43fba2575e0f717a909di0,0,0,0,0,10000
boson,860000,673688bac7641112083fdda352c784c39a2aa29b3be25a0dd4458ddbb2edb58bi0,1,210000,1,210000,1
bt,860000,0000bf2fd440660606abd5b48e3443b37339a0eda755ce787176429e6ab12cf3i0,0,0,0,0,1000000
btc,860000,7296411f89e8e6171966a0b9d11e3fe12e86fdc3b0515b1f7bbb1c29d65f29adi0,15337,20304692,21000,21000000,21000
btcash,860000,0000527325e2b136bc107b81c07715e98c1062bf827e07ced0c58232ee589e22i0,0,0,0,0,1000000
btcat,860000,5650cc68a14b7cd647d5728b6f4c3f70f0f633b9f2daff06d3f5e052370acc43i0,2,16380,1,16380,5000
btccolored,860000,593798796d12174732060d874e6cfee04f963537f297bd7439bc8bd4d69922c3i0,0,0,0,0,100000
btccolorful,860000,4206977fe142a163559c8ec0ccebbe5ca25cb2a0c6eea42fb43e6a647d8a96f3i0,0,0,0,0,1000000
btccoloring,860000,66615df0a9b75b6fb2629e442652f6b984c56551eab4e9114c8c2279b995a4e0i0,0,0,0,0,1000000
btccoloured,860000,7754697064dba6508c4b18762d198761b4f74004abb85af3d16b10722d1d4cfai0,0,0,0,0,100000
btccolourful,860000,4053b33e123666f40c4ab9126a43622ef9ead6e3470685006bf3bb8d98561cfai0,0,0,0,0,1000000
btccolouring,860000,7304cf1810859c7e4b73e45a9861c2f711d080946e8de51fef25ac04f7017666i0,0,0,0,0,100000
